"Advocate Name","Advocate Argument Number","Argument Date","Term","Case Number","Case Title","Citation","URL"
"Colleen R. Sinzdak",7,"2023-03-27","2022-10","21-757","Amgen Inc. v. Sanofi","","https://argumentaloud.org/courts/ussc/?term=2022-10&case=21-757&event=2"
"Colleen R. Sinzdak",8,"2023-11-28","2023-10","22-666","Wilkinson v. Garland, Att'y Gen.","","https://argumentaloud.org/courts/ussc/?term=2023-10&case=22-666&event=2"
"Colleen R. Sinzdak",9,"2024-04-15","2023-10","23-108","Snyder v. United States","","https://argumentaloud.org/courts/ussc/?term=2023-10&case=23-108&event=2"
"Colleen R. Sinzdak",10,"2024-10-15","2024-10","23-583","Bouarfa v. Mayorkas, Sec. of Homeland Security","","https://argumentaloud.org/courts/ussc/?term=2024-10&case=23-583&event=2"
"Colleen R. Sinzdak",11,"2024-11-13","2024-10","23-970","NVIDIA Corp. v. E. Ohman J:or Fonder AB","","https://argumentaloud.org/courts/ussc/?term=2024-10&case=23-970&event=2"
"Colli C. McKiever",1,"2004-12-01","2004-10","03-1407","Rousey v. Jacoway","544 U.S. 320 (2005)","https://argumentaloud.org/courts/ussc/?term=2004-10&case=03-1407&event=1"
"Collyn Peddie",1,"2011-01-11","2010-10","10-76","Goodyear Dunlop Tires Operations, S.A. v. Brown","564 U.S. 915 (2011)","https://argumentaloud.org/courts/ussc/?term=2010-10&case=10-76&event=2"
"Connie L. Lensing",1,"2007-11-06","2007-10","06-1322","Federal Express Corporation v. Holowecki","552 U.S. 389 (2008)","https://argumentaloud.org/courts/ussc/?term=2007-10&case=06-1322&event=1"
"Constance Baker Motley",1,"1961-10-17","1961-10","32","Hamilton v. Alabama","368 U.S. 52 (1961)","https://argumentaloud.org/courts/ussc/?term=1961-10&case=32&event=1"
"Constance Baker Motley",2,"1962-02-27","1961-10","84","Turner v. City of Memphis","369 U.S. 350 (1962)","https://argumentaloud.org/courts/ussc/?term=1961-10&case=84&event=1"
"Constance Baker Motley",3,"1962-11-06","1962-10","66","Gober v. Birmingham","373 U.S. 374 (1963)","https://argumentaloud.org/courts/ussc/?term=1962-10&case=66&event=1"
"Constance Baker Motley",4,"1962-11-06","1962-10","67","Shuttlesworth v. City of Birmingham","373 U.S. 262 (1963)","https://argumentaloud.org/courts/ussc/?term=1962-10&case=67&event=1"
"Constance B. Motley",5,"1963-04-17,1963-04-18","1962-10","424","Watson v. City of Memphis","373 U.S. 526 (1963)","https://argumentaloud.org/courts/ussc/?term=1962-10&case=424&event=1"
"Constance B. Motley",6,"1963-10-14","1963-10","9","Barr v. City of Columbia","378 U.S. 146 (1964)","https://argumentaloud.org/courts/ussc/?term=1963-10&case=9&event=1"
"Constance B. Motley",7,"1964-03-31","1963-10","623","Calhoun v. Latimer","377 U.S. 263 (1964)","https://argumentaloud.org/courts/ussc/?term=1963-10&case=623&event=1"
"Constance B. Motley",8,"1964-10-12","1964-10","2,5","Hamm v. City of Rock Hill","379 U.S. 306 (1964)","https://argumentaloud.org/courts/ussc/?term=1964-10&case=2%2C5&event=1"
"Constance B. Motley",9,"1964-12-08","1964-10","64","Swain v. Alabama","380 U.S. 202 (1965)","https://argumentaloud.org/courts/ussc/?term=1964-10&case=64&event=1"
"Constance E. Brooks",1,"1986-11-12","1986-10","85-1129","Johnson v. Transportation Agency, Santa Clara Cty.","480 U.S. 616 (1987)","https://argumentaloud.org/courts/ussc/?term=1986-10&case=85-1129&event=1"
"Constance L. Messore",1,"1985-11-13","1985-10","84-1485","Moran v. Burbine","475 U.S. 412 (1986)","https://argumentaloud.org/courts/ussc/?term=1985-10&case=84-1485&event=1"
"Corbett Gordon",1,"1999-04-28","1998-10","98-591","Albertsons Inc. v. Kirkingburg","527 U.S. 555 (1999)","https://argumentaloud.org/courts/ussc/?term=1998-10&case=98-591&event=1"
"Corinne Beckwith",1,"2003-12-01","2003-10","02-9065","Muhammad v. Close","540 U.S. 749 (2004)","https://argumentaloud.org/courts/ussc/?term=2003-10&case=02-9065&event=1"
"Corinne Beckwith",1,"2003-12-01","2003-10","02-9065","Muhammad v. Close","540 U.S. 749 (2004)","https://argumentaloud.org/courts/ussc/?term=2003-10&case=02-9065&event=1"
"Corinne L. Rice",1,"1943-01-13","1942-10","422","Mandeville v. Canterbury","318 U.S. 47 (1943)","https://argumentaloud.org/courts/ussc/?term=1942-10&case=422"
"Cornelia T. L. Pillard",1,"1994-11-01","1994-10","93-1286","American Airlines, Inc. v. Wolens","513 U.S. 219 (1995)","https://argumentaloud.org/courts/ussc/?term=1994-10&case=93-1286&event=1"
"Cornelia T. Pillard",2,"1995-04-18","1994-10","94-455","Johnson v. Jones","515 U.S. 304 (1995)","https://argumentaloud.org/courts/ussc/?term=1994-10&case=94-455&event=1"
"Cornelia T. Pillard",3,"1995-11-07","1995-10","94-1244","Behrens v. Pelletier","516 U.S. 299 (1996)","https://argumentaloud.org/courts/ussc/?term=1995-10&case=94-1244&event=1"
"Cornelia T. Pillard",4,"1996-03-26","1995-10","95-5257","Ornelas v. United States","517 U.S. 690 (1996)","https://argumentaloud.org/courts/ussc/?term=1995-10&case=95-5257&event=1"
"Cornelia T. Pillard",5,"1996-04-23","1995-10","95-6465","Lewis v. United States","518 U.S. 322 (1996)","https://argumentaloud.org/courts/ussc/?term=1995-10&case=95-6465&event=1"
"Cornelia T. Pillard",6,"1997-03-17","1996-10","96-491","Inter-Modal Rail Employees Assn. v. Atchison, Topeka & Santa Fe Railway Company","520 U.S. 510 (1997)","https://argumentaloud.org/courts/ussc/?term=1996-10&case=96-491&event=1"
"Cornelia T. L. Pillard",7,"2003-01-15","2002-10","01-1368","Nevada Department of Human Resources v. Hibbs","538 U.S. 721 (2003)","https://argumentaloud.org/courts/ussc/?term=2002-10&case=01-1368&event=1"
"Cornelia T. L. Pillard",8,"2003-04-22","2002-10","02-634","Green Tree Financial Corp. v. Bazzle","539 U.S. 444 (2003)","https://argumentaloud.org/courts/ussc/?term=2002-10&case=02-634&event=1"
"Cornelia T. L. Pillard",1,"2003-04-22","2002-10","02-634","Green Tree Financial Corp. v. Bazzle","539 U.S. 444 (2003)","https://argumentaloud.org/courts/ussc/?term=2002-10&case=02-634&event=1"
"Cornelia T.L. Pillard",2,"2009-12-09","2009-10","08-1198","Stolt-Nielsen v. Animalfeeds International Corp.","559 U.S. 662 (2010)","https://argumentaloud.org/courts/ussc/?term=2009-10&case=08-1198&event=1"
"Cornelia T.L. Pillard",1,"2009-12-09","2009-10","08-1198","Stolt-Nielsen v. Animalfeeds International Corp.","559 U.S. 662 (2010)","https://argumentaloud.org/courts/ussc/?term=2009-10&case=08-1198&event=1"
"Cynthia H. Hyndman",1,"2008-02-20","2007-10","06-1431","CBOCS West, Inc. v. Humphries","553 U.S. 442 (2008)","https://argumentaloud.org/courts/ussc/?term=2007-10&case=06-1431&event=1"
"Cynthia J. Dodge",1,"2001-04-25","2000-10","00-391","Florida v. Thomas","532 U.S. 774 (2001)","https://argumentaloud.org/courts/ussc/?term=2000-10&case=00-391&event=1"
"Cynthia M. Hora",1,"1995-10-11","1995-10","94-6615","Thompson v. Keohane","516 U.S. 99 (1995)","https://argumentaloud.org/courts/ussc/?term=1995-10&case=94-6615&event=1"
"Dale Cendali",1,"2020-01-13","2019-10","18-1086","Lucky Brand Dungarees, Inc. v. Marcel Fashions Group, Inc.","","https://argumentaloud.org/courts/ussc/?term=2019-10&case=18-1086&event=1"
"Dale M. Cendali",1,"2003-04-02","2002-10","02-428","Dastar Corporation v. Twentieth Century Fox Film Corporation","539 U.S. 23 (2003)","https://argumentaloud.org/courts/ussc/?term=2002-10&case=02-428&event=1"
"Dale Cendali",2,"2020-01-13","2019-10","18-1086","Lucky Brand Dungarees, Inc. v. Marcel Fashions Group, Inc.","","https://argumentaloud.org/courts/ussc/?term=2019-10&case=18-1086&event=1"
"Dana C. Hansen Chavis",1,"2009-01-12","2008-10","07-8521","Harbison v. Bell","556 U.S. 180 (2009)","https://argumentaloud.org/courts/ussc/?term=2008-10&case=07-8521&event=1"
"Dana E. Parker",1,"1993-04-26","1992-10","92-5653","Johnson v. Texas","509 U.S. 350 (1993)","https://argumentaloud.org/courts/ussc/?term=1992-10&case=92-5653&event=1"
"Dana Marks Keener",1,"1986-10-07","1986-10","85-782","Immigration and Naturalization Service v. Cardoza-Fonseca","480 U.S. 421 (1987)","https://argumentaloud.org/courts/ussc/?term=1986-10&case=85-782&event=1"
"Danielle Spinelli",1,"2008-03-17","2007-10","07-440","Rothgery v. Gillespie County","554 U.S. 191 (2008)","https://argumentaloud.org/courts/ussc/?term=2007-10&case=07-440&event=1"
"Danielle Spinelli",2,"2010-11-01","2010-10","09-846","United States v. Tohono O'odham Nation","563 U.S. 307 (2011)","https://argumentaloud.org/courts/ussc/?term=2010-10&case=09-846&event=2"
"Danielle Spinelli",3,"2014-03-24","2013-10","13-299","Clark v. Rameker","","https://argumentaloud.org/courts/ussc/?term=2013-10&case=13-299&event=1"
"Danielle Spinelli",4,"2015-03-24","2014-10","13-1421,14-163","Bank of America, N.A. v. Caulkett","","https://argumentaloud.org/courts/ussc/?term=2014-10&case=13-1421%2C14-163&event=1"
"Danielle Spinelli",5,"2016-12-07","2016-10","15-649","Czyzewski v. Jevic Holding Corp.","","https://argumentaloud.org/courts/ussc/?term=2016-10&case=15-649&event=2"
"Danielle Spinelli",6,"2019-02-20","2018-10","17-1657","Mission Product Holdings, Inc. v. Tempnology, LLC","","https://argumentaloud.org/courts/ussc/?term=2018-10&case=17-1657&event=2"
"Danielle Spinelli",7,"2019-10-16","2019-10","18-217","Mathena v. Malvo","","https://argumentaloud.org/courts/ussc/?term=2019-10&case=18-217&event=2"
"Deanna M. Rice",1,"2017-03-29","2016-10","15-1503,15-1504","Turner v. United States","","https://argumentaloud.org/courts/ussc/?term=2016-10&case=15-1503%2C15-1504&event=2"
"Deanne E. Maynard",1,"2005-03-30","2004-10","04-495","Wilkinson v. Austin","545 U.S. 209 (2005)","https://argumentaloud.org/courts/ussc/?term=2004-10&case=04-495&event=1"
"Deanne E. Maynard",2,"2005-10-12","2005-10","04-759","United States v. Olson","546 U.S. 43 (2005)","https://argumentaloud.org/courts/ussc/?term=2005-10&case=04-759&event=1"
"Deanne E. Maynard",3,"2006-02-28","2005-10","04-1544","Marshall v. Marshall","547 U.S. 293 (2006)","https://argumentaloud.org/courts/ussc/?term=2005-10&case=04-1544&event=1"
"Deanne E. Maynard",4,"2006-10-04","2006-10","05-608","MedImmune, Inc. v. Genentech, Inc.","549 U.S. 118 (2007)","https://argumentaloud.org/courts/ussc/?term=2006-10&case=05-608&event=1"
"Deanne E. Maynard",5,"2007-02-26","2006-10","05-1541","EC Term of Years Trust v. United States","550 U.S. 429 (2007)","https://argumentaloud.org/courts/ussc/?term=2006-10&case=05-1541&event=1"
"Deanne E. Maynard",6,"2007-10-09","2007-10","06-571","Watson v. United States","552 U.S. 74 (2007)","https://argumentaloud.org/courts/ussc/?term=2007-10&case=06-571&event=1"
"Deanne E. Maynard",7,"2008-01-08","2007-10","06-1509","Boulware v. United States","552 U.S. 421 (2008)","https://argumentaloud.org/courts/ussc/?term=2007-10&case=06-1509&event=1"
"Deanne E. Maynard",8,"2008-04-15","2007-10","07-330","Greenlaw v. United States","554 U.S. 237 (2008)","https://argumentaloud.org/courts/ussc/?term=2007-10&case=07-330&event=1"
"Deanne E. Maynard",9,"2008-11-03","2008-10","07-526","Carcieri v. Salazar","555 U.S. 379 (2009)","https://argumentaloud.org/courts/ussc/?term=2008-10&case=07-526&event=1"
"Deanne E. Maynard",10,"2008-12-08","2008-10","07-512","Pacific Bell Telephone Co. v. LinkLine Communications","555 U.S. 438 (2009)","https://argumentaloud.org/courts/ussc/?term=2008-10&case=07-512&event=1"
"Deanne E. Maynard",11,"2009-03-04","2008-10","08-5274","Dean v. United States","556 U.S. 568 (2009)","https://argumentaloud.org/courts/ussc/?term=2008-10&case=08-5274&event=1"
"Deanne E. Maynard",12,"2010-10-04","2010-10","09-907","Ransom v. FIA Card Services, N. A.","562 U.S. 61 (2011)","https://argumentaloud.org/courts/ussc/?term=2010-10&case=09-907&event=2"
"Deanne E. Maynard",13,"2012-04-23","2011-10","11-166","RadLax Gateway Hotel, LLC v. Amalgamated Bank","","https://argumentaloud.org/courts/ussc/?term=2011-10&case=11-166&event=2"
"Deanne E. Maynard",14,"2017-04-26","2016-10","15-1039,15-1195","Sandoz Inc. v. Amgen Inc.","","https://argumentaloud.org/courts/ussc/?term=2016-10&case=15-1039%2C15-1195&event=2"
"Deanne F. Jones",1,"2000-11-01","2000-10","99-1132","Illinois v. McArthur","531 U.S. 326 (2001)","https://argumentaloud.org/courts/ussc/?term=2000-10&case=99-1132&event=1"
"Deborah A. Ausburn",1,"1993-02-22","1992-10","91-1721","Northeastern Florida Chapter, Associated General Contractors of America v. City of Jacksonville, Florida","508 U.S. 656 (1993)","https://argumentaloud.org/courts/ussc/?term=1992-10&case=91-1721&event=1"
"Deborah A. Smith",1,"1999-03-01","1998-10","97-1909","Murphy Brothers, Inc. v. Michetti Pipe Stringing, Inc.","526 U.S. 344 (1999)","https://argumentaloud.org/courts/ussc/?term=1998-10&case=97-1909&event=1"
"Deborah Bachrach",1,"1983-01-10","1982-10","81-1578","Shaw v. Delta Air Lines, Inc.","463 U.S. 85 (1983)","https://argumentaloud.org/courts/ussc/?term=1982-10&case=81-1578&event=1"
"Deborah C. Costlow",1,"1993-03-29","1992-10","92-603","Federal Communications Commission v. Beach Communications, Inc.","508 U.S. 307 (1993)","https://argumentaloud.org/courts/ussc/?term=1992-10&case=92-603&event=1"
"Deborah C. Wyatt",1,"1983-11-02","1983-10","82-1432","Pulliam v. Allen","466 U.S. 522 (1984)","https://argumentaloud.org/courts/ussc/?term=1983-10&case=82-1432&event=1"
"Deborah C. Wyatt",2,"1983-12-07","1983-10","82-1630,82-6695","Hudson v. Palmer","468 U.S. 517 (1984)","https://argumentaloud.org/courts/ussc/?term=1983-10&case=82-1630%2C82-6695&event=1"
"Deborah Ellis",1,"1992-10-06","1992-10","90-985","Bray v. Alexandria Women's Health Clinic","506 U.S. 263 (1993)","https://argumentaloud.org/courts/ussc/?term=1992-10&case=90-985&event=2"
"Deborah J. Chuang",1,"2004-03-01","2003-10","02-1684","Yarborough v. Alvarado","541 U.S. 652 (2004)","https://argumentaloud.org/courts/ussc/?term=2003-10&case=02-1684&event=1"
"Deborah J. Chuang",1,"2004-03-01","2003-10","02-1684","Yarborough v. Alvarado","541 U.S. 652 (2004)","https://argumentaloud.org/courts/ussc/?term=2003-10&case=02-1684&event=1"
"Deborah Jones Merritt",1,"2009-10-07","2009-10","08-103","Reed Elsevier v. Muchnick","559 U.S. 154 (2010)","https://argumentaloud.org/courts/ussc/?term=2009-10&case=08-103&event=1"
"Deborah K. Brueckheimer",1,"2009-12-07","2009-10","08-1175","Florida v. Powell","559 U.S. 50 (2010)","https://argumentaloud.org/courts/ussc/?term=2009-10&case=08-1175&event=1"
"Deborah K. Chasanow",1,"1985-04-17","1984-10","84-778","Maryland v. Macon","472 U.S. 463 (1985)","https://argumentaloud.org/courts/ussc/?term=1984-10&case=84-778&event=1"
"Deborah A. LaBelle",1,"1999-03-30","1998-10","98-262","Martin v. Hadix","527 U.S. 343 (1999)","https://argumentaloud.org/courts/ussc/?term=1998-10&case=98-262&event=1"
"Deborah LaBelle",2,"2003-03-26","2002-10","02-94","Overton v. Bazzetta","539 U.S. 126 (2003)","https://argumentaloud.org/courts/ussc/?term=2002-10&case=02-94&event=1"
"Deborah M. Greenberg",1,"1974-12-11","1974-10","73-1543","Johnson v. Railway Express Agency, Inc.","421 U.S. 454 (1975)","https://argumentaloud.org/courts/ussc/?term=1974-10&case=73-1543&event=1"
"Deborah M. Greenberg",2,"1978-12-06","1978-10","77-1427","New York City Transit Authority v. Beazer","440 U.S. 568 (1979)","https://argumentaloud.org/courts/ussc/?term=1978-10&case=77-1427&event=1"
"Deborah T. Garren",1,"1987-02-25","1986-10","85-2156","Shaare Tefila Congregation v. Cobb","481 U.S. 615 (1987)","https://argumentaloud.org/courts/ussc/?term=1986-10&case=85-2156&event=1"
"Deborah W. Loewenberg",1,"2001-03-26","2000-10","00-121","Duncan v. Walker","533 U.S. 167 (2001)","https://argumentaloud.org/courts/ussc/?term=2000-10&case=00-121&event=1"
"Debra J. Dixon",1,"2000-03-27","1999-10","99-502","Nelson v. Adams USA, Inc.","529 U.S. 460 (2000)","https://argumentaloud.org/courts/ussc/?term=1999-10&case=99-502&event=1"
"Deirdre Boggs",1,"1985-01-15","1984-10","83-2161","Montana v. Blackfeet Tribe of Indians","471 U.S. 759 (1985)","https://argumentaloud.org/courts/ussc/?term=1984-10&case=83-2161&event=1"
"Deirdre Boggs",2,"1985-04-23","1984-10","83-2161","Montana v. Blackfeet Tribe of Indians","471 U.S. 759 (1985)","https://argumentaloud.org/courts/ussc/?term=1984-10&case=83-2161&event=3"
"Delores R. Boyd",1,"1989-04-24","1988-10","88-333","Alabama v. Smith","490 U.S. 794 (1989)","https://argumentaloud.org/courts/ussc/?term=1988-10&case=88-333&event=1"
"Denise Anton",1,"1986-04-01","1985-10","84-1744","Henderson v. United States","476 U.S. 321 (1986)","https://argumentaloud.org/courts/ussc/?term=1985-10&case=84-1744&event=1"
"Denise I. Young",1,"1991-02-27","1990-10","90-5551","Schad v. Arizona","501 U.S. 624 (1991)","https://argumentaloud.org/courts/ussc/?term=1990-10&case=90-5551&event=1"
"Denise I. Young",2,"1998-02-25","1997-10","97-300","Stewart v. Martinez-Villareal","523 U.S. 637 (1998)","https://argumentaloud.org/courts/ussc/?term=1997-10&case=97-300&event=1"
"Devon Orland",1,"2002-02-25","2001-10","01-298","Lapides v. Board of Regents of University System of Georgia","535 U.S. 613 (2002)","https://argumentaloud.org/courts/ussc/?term=2001-10&case=01-298&event=1"
"Diana A. Steele",1,"1975-02-26","1974-10","73-6587","Herring v. New York","422 U.S. 853 (1975)","https://argumentaloud.org/courts/ussc/?term=1974-10&case=73-6587&event=1"
"Diana Gribbon Motz",1,"1983-10-31","1983-10","82-766","Secretary of State of Maryland v. Joseph H. Munson Company, Inc.","467 U.S. 947 (1984)","https://argumentaloud.org/courts/ussc/?term=1983-10&case=82-766&event=1"
"Diana L. Gustin",1,"1998-12-02","1998-10","97-1489","Your Home Visiting Nurse Services, Inc. v. Shalala","525 U.S. 449 (1999)","https://argumentaloud.org/courts/ussc/?term=1998-10&case=97-1489&event=1"
"Diane C. Yu",1,"1989-01-10","1988-10","87-1224","Oring v. State Bar of Cal.","488 U.S. 590 (1989)","https://argumentaloud.org/courts/ussc/?term=1988-10&case=87-1224&event=1"
"Diane Munns",1,"1998-10-13","1998-10","97-826,97-829,97-830,97-831,97-1141,97-826,97-829","AT&T Corporation v. Iowa Utilities Board","525 U.S. 366 (1999)","https://argumentaloud.org/courts/ussc/?term=1998-10&case=97-826%2C97-829%2C97-830%2C97-831%2C97-1141%2C97-826%2C97-829&event=1"
"Diane W. Wilson",1,"1998-11-10","1998-10","97-475","El Al Israel Airlines, Ltd. v. Tsui Yuan Tseng","525 U.S. 155 (1999)","https://argumentaloud.org/courts/ussc/?term=1998-10&case=97-475&event=1"
"Dola Jean Young",1,"1993-03-01","1992-10","91-8199","Deal v. United States","508 U.S. 129 (1993)","https://argumentaloud.org/courts/ussc/?term=1992-10&case=91-8199&event=1"
"Dolly Lee Butler",1,"1951-10-16","1951-10","83","Rochin v. California","342 U.S. 165 (1952)","https://argumentaloud.org/courts/ussc/?term=1951-10&case=83"
"Donna D. Domonkos",1,"1999-01-12","1998-10","98-184","Wyoming v. Houghton","526 U.S. 295 (1999)","https://argumentaloud.org/courts/ussc/?term=1998-10&case=98-184&event=1"
"Donna L. Zeegers",1,"1983-11-09","1983-10","82-15,82-1273","Oliver v. United States","466 U.S. 170 (1984)","https://argumentaloud.org/courts/ussc/?term=1983-10&case=82-15%2C82-1273&event=1"
"Donna M. Murasky",1,"1992-11-03","1992-10","91-1326","District of Columbia v. Greater Washington Bd. of Trade","506 U.S. 125 (1992)","https://argumentaloud.org/courts/ussc/?term=1992-10&case=91-1326&event=1"
